Surface melt rate,,,,
G(h)_W/m2,Gb(n)_W/m2,Gd(h)_W/m2,IR(h)_W/m2,RH_%
0,0,0,242.6,87
0,0,0,239.6,92
5.71,0,0,237,93
31.48,0,4,234.8,95
86.72,83.05,83,233.8,96
154.81,388.09,129,234,91
227.12,590.16,140,236.4,90
289.14,715.08,141,238.8,84
318.88,780.82,143,241.8,79
391.7,931.21,91,244.8,76
428.77,907.01,107,245.8,81
385.99,885.04,114,247.8,86
358.76,833.34,125,248.6,81
315.94,827.26,108,251,83
251.12,727.4,112,252.2,76
173.8,597.69,104,253.4,79
94.55,485.7,73,248.74,81
29.1,252.31,35,247.8,83
0,0,0,246.87,78
0,0,0,245.94,73
0,0,0,245,73
0,0,0,244.07,76
0,0,0,243.14,79
0,0,0,242.2,78
0,0,0,241.27,84
0,0,0,240.34,90
8.2,0,0,239.4,92
75.77,12.06,21,238.47,92
190.52,386.78,71,237.54,90
308.01,590.61,93,236.6,90
420.23,687.45,112,235.67,87
510.62,747.23,126,234.74,81
582.84,769.75,142,250.6,72
585.41,806.52,142,253.8,57
620.89,830.93,136,257.2,51
587.77,809.18,143,259.2,43
530.71,746.42,156,261.4,40
439.88,699.88,149,262,32
324.27,676.03,124,262.4,33
207.75,588.5,104,261.6,37
101.08,477.34,73,260.2,39
28.85,242.56,37,257.8,42
0,0,0,254.2,48
0,0,0,248.8,65
0,0,0,246.8,68
0,0,0,245.6,83
0,0,0,244.4,91
0,0,0,243.2,92
0,0,0,242.2,92
0,0,0,241.2,92
6.36,0,0,240,92
43.08,11.4,23,239,90
114.46,420.44,70,239.6,89
202.89,603.42,92,241.2,88
297.45,676.77,116,244.4,85
382.28,748.94,126,249.4,81
295.34,755.81,149,253.2,76
309.05,807.91,142,256.6,72
241.95,784.94,158,260,74
171.9,795.12,150,262.4,65
185.25,748.4,156,264.8,69
179.3,702.34,149,265.4,87
152.62,679.03,124,265.8,92
113.62,579.58,107,265.2,90
65.85,469.34,76,264.2,85
22.91,233.63,39,261.8,83
0,0,0,258.4,82
0,0,0,253.2,80
0,0,0,252.4,75
0,0,0,250.6,78
0,0,0,250.4,80
0,0,0,248.6,79
0,0,0,249,82
0,0,0,247.2,81
9.53,0,0,245.6,83
77.39,32.45,28,240.4,83
198.15,306.48,82,240,84
329.42,428.06,125,247.2,87
452.78,543.87,152,260.4,84
561.31,536.24,198,270.2,74
644.5,629.74,198,274.6,63
638.83,719.6,181,283,56
620.16,451.45,294,290,51
613.7,548.58,253,297.6,44
574.62,525.9,241,301.4,40
490.85,419.5,240,306.2,39
380.75,424.76,192,301,42
260.67,273.4,161,298.2,40
140.26,210.6,103,298,42
46.16,150.28,43,292.2,45
0,0,0,289.4,50
0,0,0,281.4,54
0,0,0,270.4,61
0,0,0,268.6,74
0,0,0,263.2,79
0,0,0,261.4,83
0,0,0,260.8,72
0,0,0,259,76
8.6,0,0,256.6,80
59,0,5,259.8,68
149.79,4.48,66,257.2,77
253.01,374.27,136,263,55
354.3,496.53,166,272,58
450.46,694.99,147,292.4,55
526.32,759.33,149,292.2,51
574.37,779.72,156,291.4,50
667.27,771.75,166,291.4,47
590.77,752.2,170,305.4,45
547.66,536.64,239,317.2,41
471.27,0,170,329.2,47
373.8,253.37,226,324.2,51
263.9,95.52,170,321,67
149.67,0,32,328.6,64
51.62,56.48,42,320.6,42
0,0,0,311.2,42
0,0,0,306,47
0,0,0,297.6,53
0,0,0,275.2,48
0,0,0,271.4,64
0,0,0,258.4,66
0,0,0,263.4,63
0,0,0,262.2,62
10.69,0,0,270.2,62
67.78,0,5,262,61
153.4,0,16,263.4,61
241.73,16.94,131,258.4,62
314.53,598,142,266,56
370.53,738.97,133,270.2,56
409.19,666.81,187,269.6,58
409.57,12.7,283,271.4,56
433.72,0,142,297.6,53
450.5,0,157,306.2,46
419.43,0,60,308.4,42
360.36,0,132,296.8,40
285.49,2.01,162,284.6,40
202.47,107.72,172,291,39
116.62,200.15,107,291,38
43.09,54.67,45,288.8,40
0,0,0,297.8,43
0,0,0,306.8,44
0,0,0,318,46
0,0,0,328.6,50
0,0,0,333.8,52
0,0,0,334,56
0,0,0,335.8,57
0,0,0,336.85,57
13.41,0,0,338.4,66
83.55,0,6,337.4,72
190.63,0,16,336.2,73
304.35,0,45,336.2,74
411.17,0,123,334.4,65
501.62,0,147,335,51
568.2,39.37,297,327.6,50
606.5,119.32,354,327.6,47
550.15,35.5,330,329.6,44
615.05,243.28,350,330.4,45
552.71,195.87,331,320,43
489.47,308.71,272,310.4,39
394.97,223.78,233,311.6,37
284.45,20.82,149,314,37
167.8,382.71,93,307.6,39
64.41,348.19,41,304.6,40
0,0,0,295.2,43
0,0,0,290.8,42
0,0,0,277,45
0,0,0,267.4,51
0,0,0,285.4,57
0,0,0,269.8,61
0,0,0,279.8,66
0,0,0,269,77
15.3,0,0,279.2,80
94.62,0,6,284.4,81
222.51,0,17,284,82
359.69,0,64,290.6,77
491.23,340.99,205,287.6,71
604.52,32.54,254,290.6,59
702.65,644.67,197,288.4,41
735.88,549.1,255,294.6,38
750.49,774.73,167,297.2,35
720.74,725.15,185,308.2,33
652.69,753.09,158,307,33
561.09,750.03,137,304.2,35
438.88,714.3,118,320.6,36
301.26,652.1,97,309.8,35
163.44,518.09,77,292.6,35
58.75,352.62,42,277.4,36
0,0,0,271.4,38
0,0,0,293.6,41
0,0,0,292.8,44
0,0,0,278.8,44
0,0,0,284.6,44
0,0,0,325.2,53
0,0,0,339,66
0,0,0,344.05,68
12.44,0,0,334.8,75
71.99,0,6,300,70
188.43,266.69,96,278,67
326,554.38,111,259.4,67
470.66,664.38,127,260.8,64
599.59,728.67,140,265.6,54
709.96,764.27,150,267.6,45
762.36,712.09,189,272,44
769.41,745.64,181,275.4,38
742.34,665.46,211,272.6,32
679.4,662.8,196,274.6,30
584.12,737.67,142,275.8,29
462.99,636.54,143,273.6,31
328.19,393.29,152,271.6,32
190.52,450.66,87,269.6,31
76.3,299.83,47,266.2,32
0,0,0,263,32
0,0,0,264.2,33
0,0,0,270.4,36
0,0,0,273.8,36
0,0,0,274.8,40
0,0,0,278,67
0,0,0,276.8,75
0,0,0,278.8,82
20.3,0,0,285,84
100.38,0,7,298.6,85
213.25,0,17,306.4,84
333.6,0,29,329,83
458.43,0,89,350,79
568.88,0,78,342.4,68
653.59,0,116,341.6,48
712.54,0,140,362.8,42
696.7,13.47,302,362.2,39
689.09,0,108,356.6,33
645.18,0,129,337.6,29
549.41,0,136,340.6,30
433.27,146.82,243,300.2,27
304.83,75.93,176,316.4,28
176.66,77.78,114,310.8,36
65.67,291.7,49,287.6,35
7.74,0,0,269.2,36
0,0,0,267.8,38
0,0,0,266.2,42
0,0,0,265.4,61
0,0,0,263.4,67
0,0,0,262.2,70
0,0,0,262,79
0,0,0,265.6,78
20.04,0,0,263.2,76
99.98,0,7,267.6,78
227.62,84.72,104,264.2,79
366.8,32.11,150,268,79
497.45,10.17,181,278.8,73
609.91,641.2,173,290.6,61
693.02,795.43,139,294,49
728.97,606.6,235,297.4,40
718,92.59,367,310.8,35
700.61,162.56,365,312.2,34
630.87,294.14,321,309.6,34
540.34,128.99,299,311,34
419.46,3.89,176,315.6,32
294.97,5.02,132,321.2,32
169.23,0,58,320,33
59.96,0,13,315,34
7.55,0,0,320.8,36
0,0,0,293.8,39
0,0,0,284.8,42
0,0,0,284.6,47
0,0,0,284.4,68
0,0,0,296.2,69
0,0,0,305.8,73
0,0,0,300.2,71
20.45,0,0,303.8,69
95.85,0,7,304.4,72
215.88,0,21,309.4,72
347.1,0,64,315.8,69
474.34,16.15,195,318,67
589.54,1.67,195,325,61
679.06,100.44,331,324,48
744.02,205.93,360,333,46
723.56,163.06,375,331,39
700.06,631.26,229,322.8,34
633.88,491.45,264,305.4,31
540.48,713.16,154,298.6,29
426.25,680.3,133,288.4,34
297.44,624.33,108,278.4,32
171.41,566.24,75,277.6,39
64.27,329.75,50,286,46
7.66,0,0,269.2,46
0,0,0,277.2,43
0,0,0,265.6,39
0,0,0,262.6,39
0,0,0,261,44
0,0,0,257.8,49
0,0,0,257.6,54
0,0,0,257.2,63
25.62,0,0,263.8,71
115.12,0,8,260.2,69
247.78,512.98,75,260,71
380.09,695.86,84,256.2,67
504.88,752.11,104,258.6,65
614.43,837.41,102,262,57
653.61,827.87,126,263,36
723.51,787.55,158,279.2,32
755.74,648.35,227,277.4,31
730.89,112.47,366,277.2,32
666.78,294.46,324,290,34
576.43,211.75,298,291.4,33
461.95,735.64,116,276.8,36
331.01,675.86,97,272,39
199.65,601.81,70,268.8,37
78.63,399.06,47,267.4,38
9.24,0,0,263.2,43
