Tsi,Tso
Tsi_C,Tso_C
1.189706725515640E-01,7.073469671926930E+00
1.194532405560450E-01,6.960728964325840E+00
1.199356650989140E-01,7.039110922164130E+00
1.204179514479090E-01,7.313059000882210E+00
1.209001054379320E-01,7.694218038550570E+00
1.213821334563840E-01,8.174475920092340E+00
1.218640424128410E-01,8.880091537838730E+00
1.223458396949510E-01,9.649853037508240E+00
1.228275331129050E-01,1.039993903368180E+01
1.233091308351690E-01,1.108242490003470E+01
1.237906413183240E-01,1.157229280868930E+01
1.242720732338700E-01,1.196708455169890E+01
1.247534353946980E-01,1.214250305436710E+01
1.252347366836330E-01,1.205167006530380E+01
1.257159859860890E-01,1.164920320516920E+01
1.261971921283480E-01,1.109845295847500E+01
1.266783638224760E-01,1.064651167386270E+01
1.271595096183510E-01,1.021360321476140E+01
1.276406378627430E-01,9.776050709631360E+00
1.281217566649460E-01,9.333684393552130E+00
1.286028738680840E-01,8.920606442010030E+00
1.290839970249400E-01,8.509156483320570E+00
1.295651333770310E-01,8.168737222673990E+00
1.300462898356110E-01,7.863427366882410E+00
1.305274729634260E-01,7.542886766322340E+00
1.310086889562550E-01,7.328435531949660E+00
1.314899436235970E-01,7.338034045353220E+00
1.319712423682690E-01,7.602840874269900E+00
1.324525901651090E-01,8.122646711153880E+00
1.329339915394010E-01,8.830489851866890E+00
1.334154505460600E-01,9.611134309435180E+00
1.338969707509220E-01,1.043507470987750E+01
1.343785552157440E-01,1.123346812318270E+01
1.348602064886030E-01,1.191086851475080E+01
1.353419266013830E-01,1.228557600254090E+01
1.358237170758690E-01,1.249842610958440E+01
1.363055789396940E-01,1.255228863762300E+01
1.367875127529710E-01,1.234420145457760E+01
1.372695186459740E-01,1.193129532644390E+01
1.377515963676690E-01,1.141366582169960E+01
1.382337453443510E-01,1.094987273251350E+01
1.387159647470680E-01,1.046949736049480E+01
1.391982535660450E-01,9.942969630086630E+00
1.396806106898580E-01,9.480688416128880E+00
1.401630349868660E-01,9.104516003667870E+00
1.406455253861770E-01,8.823105713986740E+00
1.411280809554680E-01,8.535823224026690E+00
1.416107009730780E-01,8.245519476571440E+00
1.420933849921120E-01,7.955909625479460E+00
1.425761328946870E-01,7.772064558893190E+00
1.430589449350350E-01,7.799246238760820E+00
1.435418217707250E-01,8.038529674556800E+00
1.440247644819760E-01,8.474399354548800E+00
1.445077745796040E-01,9.224127629734320E+00
1.449908540027980E-01,1.037910454966430E+01
1.454740051083490E-01,1.169280246214460E+01
1.459572306534060E-01,1.277019223364210E+01
1.464405337739730E-01,1.374518111663590E+01
1.469239179615230E-01,1.443847491727310E+01
1.474073870399340E-01,1.483090509911240E+01
1.478909451447730E-01,1.477697928119840E+01
1.483745967065330E-01,1.451676745790700E+01
1.488583464390070E-01,1.408708535081730E+01
1.493421993333850E-01,1.344516290549700E+01
1.498261606581420E-01,1.282032051245960E+01
1.503102359641950E-01,1.232347018300470E+01
1.507944310942990E-01,1.195570708225330E+01
1.512787521952230E-01,1.156466446560370E+01
1.517632057309500E-01,1.115922775394760E+01
1.522477984949410E-01,1.070991493772020E+01
1.527325376194990E-01,1.032934423984180E+01
1.532174305804160E-01,1.000107931702480E+01
1.537024851953560E-01,9.708062160760480E+00
1.541877096149010E-01,9.640322856431920E+00
1.546731123056880E-01,9.884902388498370E+00
1.551587020257370E-01,1.034419626108610E+01
1.556444877926940E-01,1.095067898876650E+01
1.561304788463590E-01,1.158739725854850E+01
1.566166846074630E-01,1.202020491284890E+01
1.571031146350800E-01,1.237328047225980E+01
1.575897785854160E-01,1.275366796886160E+01
1.580766861748410E-01,1.343552637692040E+01
1.585638471499690E-01,1.358659432939010E+01
1.590512712673880E-01,1.338936464817790E+01
1.595389682851920E-01,1.319472428781890E+01
1.600269479679500E-01,1.272277157787930E+01
1.605152201060330E-01,1.206324044494290E+01
1.610037945495150E-01,1.135454758807460E+01
1.614926812560610E-01,1.074914570480880E+01
1.619818903514960E-01,1.032190606281460E+01
1.624714322010680E-01,1.002019447791570E+01
1.629613174888440E-01,9.872330808370620E+00
1.634515573022610E-01,9.617107848467260E+00
1.639421632186100E-01,9.389526218781940E+00
1.644331473901130E-01,9.269673736446850E+00
1.649245226243990E-01,9.017629289247160E+00
1.654163024574190E-01,8.718905195259730E+00
1.659085012162390E-01,8.616308335899680E+00
1.664011340697030E-01,8.661902348741240E+00
1.668942170655290E-01,8.878976322712750E+00
1.673877671530150E-01,9.345366795460160E+00
1.678818021911840E-01,9.995717097728810E+00
1.683763409427180E-01,1.073593370020760E+01
1.688714030545350E-01,1.193031584673400E+01
1.693670090262110E-01,1.272868094575970E+01
1.698631801676930E-01,1.363641985872810E+01
1.703599385478450E-01,1.442615796181480E+01
1.708573069353460E-01,1.487526496873800E+01
1.713553087333310E-01,1.484648663708600E+01
1.718539679088980E-01,1.464636424428800E+01
1.723533089183790E-01,1.421374883500390E+01
1.728533566288660E-01,1.371290846029890E+01
1.733541362362270E-01,1.330351024314850E+01
1.738556731794860E-01,1.271804534927660E+01
1.743579930512380E-01,1.217462142831820E+01
1.748611215035540E-01,1.179459028590990E+01
1.753650841487850E-01,1.148235299180520E+01
1.758699064546670E-01,1.115965796448550E+01
1.763756136332840E-01,1.081717458624840E+01
1.768822305236690E-01,1.052604421813700E+01
1.773897814681750E-01,1.024268895086870E+01
1.778982901831750E-01,1.007278886427380E+01
1.784077796251160E-01,1.000277995703550E+01
1.789182718534840E-01,1.007830167848900E+01
1.794297878927340E-01,1.032897385308860E+01
1.799423475956950E-01,1.059871006787810E+01
1.804559695113530E-01,1.105990031569670E+01
1.809706707601630E-01,1.141231313336230E+01
1.814864669201850E-01,1.195414595965370E+01
1.820033719272660E-01,1.232274116010980E+01
1.825213979923140E-01,1.257975138706200E+01
1.830405555383060E-01,1.255212765233140E+01
1.835608531591640E-01,1.242463426584870E+01
1.840822976019560E-01,1.201195196530390E+01
1.846048937731660E-01,1.154808214861960E+01
1.851286447689400E-01,1.102467587869490E+01
1.856535519284270E-01,1.051142548886070E+01
1.861796149085430E-01,1.011758984585690E+01
1.867068317777710E-01,9.798750501092660E+00
1.872351991260070E-01,9.461524284409580E+00
1.877647121869900E-01,9.096224287138180E+00
1.882953649695410E-01,8.825190517292910E+00
1.888271503936610E-01,8.619926112333280E+00
1.893600604276200E-01,8.470312750947660E+00
1.898940862222750E-01,8.100707661205620E+00
1.904292182392650E-01,8.024066980950860E+00
1.909654463701330E-01,8.062564457305310E+00
